date,nav,market price
20240111,15.56,15.59
20240112,14.59,14.62
20240116,14.4,14.5
20240117,14.22,14.29
20240118,13.64,13.65
20240119,13.97,13.91
20240122,13.37,13.4
20240123,13.08,13.07
20240124,13.26,13.2
20240125,13.28,13.29
20240126,14.0,14.01
20240129,14.36,14.4
20240130,14.54,14.54
20240131,14.28,14.18
20240201,14.35,14.35
20240202,14.33,14.32
20240205,14.15,14.13
20240206,14.38,14.37
20240207,14.68,14.72
20240208,15.16,15.2
20240209,15.88,15.87
20240212,16.66,16.77
20240213,16.43,16.49
20240214,17.27,17.27
20240215,17.28,17.28
20240216,17.28,17.32
20240220,17.37,17.36
20240221,17.01,17.01
20240222,17.26,17.37
20240223,17.02,17.05
20240226,18.18,18.18
20240227,19.02,19.05
20240228,20.12,20.17
20240229,20.69,20.76
20240301,20.86,21.06
20240304,22.51,22.6
20240305,20.81,20.68
20240306,22.39,22.37
20240307,22.61,22.59
20240308,23.09,23.13
20240311,24.14,24.07
20240312,23.83,23.8
20240313,24.37,24.54
20240314,23.17,23.14
20240315,23.24,23.05
20240318,22.39,22.29
20240319,21.58,21.47
20240320,21.84,21.97
20240321,21.75,21.74
20240322,21.25,21.33
20240325,23.59,23.71
20240326,23.25,23.18
20240327,22.88,22.9
20240328,23.58,23.66
20240401,23.1,23.26
20240402,22.01,21.99
20240403,21.96,21.96
20240404,22.9,22.85
20240405,22.58,22.48
20240408,23.93,23.93
20240409,22.95,22.99
20240410,23.18,23.38
20240411,23.42,23.5
20240412,22.27,22.3
20240415,21.05,21.1
20240416,20.95,20.91
20240417,20.36,20.35
20240418,21.11,21.19
20240419,21.41,21.47
20240422,22.11,22.2
20240423,22.19,22.18
20240424,21.39,21.3
20240425,21.54,21.59
20240426,21.29,21.24
20240429,20.89,20.99
20240430,19.97,19.69
20240501,19.29,18.96
20240502,19.72,19.79
20240503,20.58,20.71
20240506,21.01,21.08
20240507,21.03,21.02
20240508,20.75,20.71
20240509,20.76,20.83
20240510,20.21,20.21
20240513,20.99,21.06
20240514,20.49,20.52
20240515,21.97,22.02
20240516,21.75,21.74
20240517,22.28,22.38
20240520,23.11,23.4
20240521,23.18,23.1
20240522,23.19,23.22
20240523,22.43,22.38
20240524,22.96,23.08
20240528,22.72,22.8
20240529,22.46,22.41
20240530,22.97,22.92
20240531,22.48,22.52
20240603,23.02,23.09
20240604,23.47,23.5
20240605,23.68,23.77
20240606,23.59,23.49
20240607,23.01,23.06
20240610,23.2,23.15
20240611,22.41,22.45
20240612,22.79,22.5
20240613,22.22,22.17
20240614,21.79,21.81
20240617,22.24,22.22
20240618,21.45,21.45
20240620,21.63,21.67
20240621,21.33,21.4
20240624,19.97,19.75
20240625,20.64,20.64
20240626,20.25,20.3
20240627,20.48,20.46
20240628,20.09,19.99
20240701,21.08,21.06
20240702,20.65,20.61
20240703,19.95,20.14
20240705,18.83,18.85
20240708,18.76,18.81
20240709,19.24,19.28
20240710,19.14,19.13
20240711,19.17,19.12
20240712,19.29,19.21
20240715,21.17,21.15
20240716,21.63,21.74
20240717,21.53,21.53
20240718,21.15,21.19
20240719,22.36,22.43
20240722,22.59,22.77
20240723,21.92,21.84
20240724,21.94,21.87
20240725,21.56,21.54
20240726,22.58,22.68
20240729,22.45,22.42
20240730,21.9,21.95
20240731,21.93,21.72
20240801,21.05,21.07
20240802,20.88,20.83
20240805,17.69,17.81
20240806,18.87,18.9
20240807,18.29,18.23
20240808,19.87,19.79
20240809,20.16,20.24
20240812,19.67,19.66
20240813,20.22,20.27
20240814,19.63,19.62
20240815,19.05,19.01
20240816,19.88,19.9
20240819,19.65,19.64
20240820,19.78,19.83
20240821,20.36,20.55
20240822,20.08,20.08
20240823,21.17,21.22
20240826,21.14,21.1
20240827,20.66,20.69
20240828,19.76,19.61
20240829,19.76,19.74
20240830,19.62,19.54
20240903,19.31,19.32
20240904,19.27,19.33
20240905,18.71,18.66
20240906,17.84,17.82
20240909,18.92,19.04
20240910,19.21,19.32
20240911,19.16,19.19
20240912,19.41,19.47
20240913,19.93,19.91
20240916,19.28,19.3
20240917,20.08,19.97
20240918,20.1,20.0
20240919,21.11,21.07
20240920,20.95,20.92
20240923,21.1,21.08
