date,nav,market price
20240430,6.3334,6.3350
20240502,5.7702,5.7850
20240503,5.9295,5.9300
20240506,6.4351,6.4400
20240507,6.3721,6.3600
20240508,6.2283,6.2050
20240509,6.1415,6.1150
20240510,6.3192,6.3050
20240513,6.1729,6.2150
20240514,6.1910,6.1950
20240516,6.6135,6.5900
20240517,6.6240,6.6100
20240520,6.6713,6.6650
20240521,7.1020,7.0900
20240522,6.9731,6.9700
20240523,6.9580,6.9450
20240524,6.7054,6.6950
20240528,6.7743,6.7550
20240529,6.8155,6.7850
20240530,6.7769,6.7600
20240531,6.8232,6.7950
20240603,6.8912,6.8950
20240604,6.8950,6.8750
20240605,7.1150,7.1100
20240606,7.0919,7.0950
20240607,7.1121,7.1150
20240611,6.7656,6.7500
20240612,6.7324,6.7400
20240613,6.7575,6.7650
20240614,6.6914,6.6750
20240617,6.6110,6.6000
20240618,6.5599,6.5400
20240620,6.5716,6.5650
20240621,6.4521,6.4100
20240624,6.2303,6.2400
20240625,6.0838,6.0600
20240626,6.1618,6.1600
20240627,6.0695,6.0800
20240628,6.1373,6.1250
20240702,6.2548,6.2550
20240703,6.0837,6.0700
20240705,5.4205,5.4350
20240708,5.5662,5.5750
20240709,5.7241,5.7100
20240710,5.9026,5.9000
20240711,5.8068,5.8000
20240712,5.7070,5.7100
20240715,6.2869,6.2750
20240716,6.3015,6.2900
20240717,6.5369,6.5300
20240718,6.4774,6.4700
20240719,6.3856,6.3700
20240722,6.7242,6.7200
20240723,6.6448,6.6550
20240724,6.5932,6.5850
20240725,6.4188,6.4000
20240726,6.6972,6.6800
20240729,6.9465,6.9400
20240730,6.6843,6.6650
20240731,6.6291,6.5950
20240801,6.4285,6.4000
20240802,6.4222,6.4050
20240805,5.2351,5.2900
20240806,5.5794,5.6050
20240807,5.6785,5.7100
20240808,5.7263,5.7400
20240809,6.0951,6.1050
20240812,5.8368,5.8800
20240813,5.9236,5.9100
20240814,6.0790,6.0750
20240815,5.7961,5.8150
20240816,5.8402,5.8350
20240819,5.8570,5.8550
20240820,6.0853,6.0750
20240821,5.9627,5.9800
20240822,6.0777,6.0850
20240823,6.1053,6.0900
20240826,6.3682,6.3650
20240827,6.2811,6.2950
20240828,5.8914,5.8700
20240829,5.9573,5.9550
20240830,5.9335,5.9250
20240903,5.8950,5.9000
20240904,5.6512,5.6850
20240905,5.7065,5.7000
20240909,5.4799,5.4850
20240910,5.7005,5.7050
20240911,5.6539,5.6750
20240912,5.7953,5.7900
20240913,5.7872,5.7900
20240916,5.8749,5.8700
20240917,5.8522,5.8550
20240919,6.1998,6.1950
20240920,6.3490,6.3550
20240923,6.3413,6.3550
20240924,6.3351,6.3550
20240925,6.3702,6.3800
20240926,6.3677,6.3650
20240927,6.5345,6.5200
20240930,6.4429,6.4450
20241002,6.1627,6.1750
20241003,6.1066,6.0900
20241004,6.1183,6.1150
20241007,6.3430,6.3450
20241008,6.2114,6.2200
20241009,6.2119,6.2150
20241010,6.0842,6.0850
20241015,6.5557,6.5450
20241016,6.6762,6.6850
20241017,6.7023,6.6900
20241018,6.7860,6.7800
20241021,6.8463,6.8350
20241022,6.7372,6.7200
20241023,6.6689,6.6650
20241024,6.6968,6.7050
20241025,6.7282,6.7400
20241028,6.8167,6.8350
20241029,7.0794,7.0950
20241030,7.2099,7.2250
20241031,7.2143,7.2300
20241101,6.9016,6.9000
20241104,6.8633,6.8350
20241105,6.8544,6.8500
20241106,7.3916,7.3350
20241107,7.4677,7.4650
20241108,7.5839,7.5900
20241112,8.9257,8.9250
20241113,8.6985,8.7450
20241115,8.7806,8.7850
20241118,9.1490,9.1500
20241119,9.1582,9.1400
20241120,9.2463,9.2650
20241121,9.6868,9.6650
20241122,9.8999,9.9400
20241125,9.7823,9.8200
20241126,9.3659,9.3800
20241127,9.3073,9.3550
20241129,9.5698,9.5550
20241202,9.5797,9.5650
20241203,9.5182,9.5500
20241204,9.6250,9.6300
20241205,10.1786,10.1900
20241206,9.7698,9.8100
20241209,9.8688,9.9300
20241210,9.6797,9.6950
20241211,9.7194,9.7000
20241212,10.0258,10.0200
20241213,9.9535,9.9950
20241216,10.4745,10.4500
20241217,10.6456,10.6300
20241218,10.3694,10.3900
20241219,10.0998,10.1400
20241220,9.7446,9.7450
20241223,9.4750,9.5100
20241224,9.3569,9.4100
20241227,9.5059,9.4900
20241230,0.9307,0.9360
20241231,0.9232,0.9210
20250102,0.9519,0.9540
20250103,0.9594,0.9580
20250106,0.9886,0.9910
20250107,1.0135,1.0160
20250108,0.9508,0.9530
20250109,0.9330,0.9300
20250110,0.9396,0.9400
20250113,0.9319,0.9320
20250114,0.9449,0.9460
20250115,0.9680,0.9720
20250116,0.9923,0.9960
20250117,1.0107,1.0120
20250120,1.0758,1.0700
20250121,1.0160,1.0180
20250122,1.0479,1.0440
20250123,1.0187,1.0200
20250124,1.0436,1.0440
20250127,0.9822,0.9830
20250128,1.0241,1.0220
20250203,0.9401,0.9490
20250204,0.9850,0.9800
20250205,0.9712,0.9740
20250206,0.9769,0.9750
20250207,0.9640,0.9660
20250210,0.9676,0.9680
20250211,0.9784,0.9760
20250212,0.9545,0.9540
20250213,0.9553,0.9540
20250214,0.9645,0.9630
20250217,0.9560,0.9560
20250218,0.9493,0.9500
20250219,0.9513,0.9500
20250220,0.9639,0.9620
20250221,0.9783,0.9740
20250224,0.9528,0.9510
20250225,0.8924,0.8880
20250226,0.8822,0.8830
20250227,0.8577,0.8570
20250228,0.7888,0.7890
20250303,0.9141,0.9190
20250304,0.8299,0.8290
20250305,0.8696,0.8740
20250306,0.9106,0.9110
20250307,0.8780,0.8770
20250310,0.8176,0.8180
20250311,0.7985,0.8000
20250312,0.8121,0.8180
20250313,0.8276,0.8250
20250314,0.8157,0.8180
20250317,0.8283,0.8290
20250318,0.8245,0.8250
20250319,0.8266,0.8250
20250320,0.8528,0.8520
20250321,0.8340,0.8330
20250324,0.8638,0.8620
20250325,0.8596,0.8570
20250326,0.8745,0.8740
20250327,0.8675,0.8690
20250328,0.8490,0.8450
20250331,0.8138,0.8120
20250401,0.8290,0.8270
20250402,0.8364,0.8370
20250403,0.8265,0.8300
20250407,0.7445,0.7460
20250408,0.7886,0.7880
20250409,0.7704,0.7720
20250410,0.8121,0.8080
20250411,0.8052,0.8050
20250414,0.8387,0.8400
20250415,0.8501,0.8510
20250416,0.8283,0.8270
20250417,0.8413,0.8390
20250422,0.8766,0.8780
20250423,0.9300,0.9340
20250424,0.9166,0.9170
20250425,0.9296,0.9320
20250428,0.9395,0.9420
20250429,0.9413,0.9430
20250430,0.9399,0.9420
20250502,0.9581,0.9570
20250506,0.9370,0.9400
20250507,0.9600,0.9620
20250508,0.9843,0.9860
20250509,1.0283,1.0280
20250512,1.0427,1.0380
20250513,1.0189,1.0200
20250514,1.0276,1.0260
20250515,1.0118,1.0100
20250516,1.0309,1.0260
20250519,1.0204,1.0260
20250520,1.0451,1.0400
20250521,1.0617,1.0580
20250522,1.0990,1.1020
20250523,1.0977,1.1000
20250526,1.0908,1.0940
20250527,1.0838,1.0840
20250528,1.0802,1.0840
20250529,1.0700,1.0740
20250530,1.0449,1.0440
20250602,1.0446,1.0440
20250603,1.0442,1.0440
20250604,1.0448,1.0480
20250605,1.0366,1.0380
20250606,1.0235,1.0220
20250609,1.0467,1.0480
20250610,1.0839,1.0860
20250611,1.0861,1.0860
20250612,1.0678,1.0700
20250613,1.0376,1.0400
20250616,1.0593,1.0600
20250617,1.0575,1.0620
20250618,1.0399,1.0440
20250619,1.0382,1.0400
20250620,1.0424,1.0480
20250623,1.0100,1.0120
20250624,1.0448,1.0420
20250625,1.0559,1.0560
20250626,1.0698,1.0720
20250627,1.0631,1.0620
20250630,1.0665,1.0680
20250702,1.0602,1.0600
20250703,1.0828,1.0820
20250704,1.0785,1.0800
20250707,1.0787,1.0820
20250708,1.0731,1.0740
20250709,1.0773,1.0800
20250710,1.1027,1.1000
20250711,1.1662,1.1640
20250714,1.2135,1.2160
20250715,1.1572,1.1600
20250716,1.1706,1.1700
20250717,1.1707,1.1760
20250718,1.1874,1.1860
20250721,1.1821,1.1820
20250722,1.1704,1.1680
20250723,1.1733,1.1720
20250724,1.1685,1.1760
20250725,1.1415,1.1440
20250728,1.1775,1.1800
20250729,1.1766,1.1800
20250730,1.1703,1.1720
20250731,1.1749,1.1760
20250801,1.1370,1.1400
20250804,1.1338,1.1380
20250806,1.1299,1.1300
20250807,1.1359,1.1360
20250808,1.1561,1.1600
20250811,1.2057,1.1980
20250812,1.1778,1.1800
20250813,1.1813,1.1820
20250815,1.1770,1.1800
20250818,1.1416,1.1440
20250819,1.1363,1.1380
20250820,1.1243,1.1260
20250821,1.1252,1.1260
20250822,1.1185,1.1220
20250825,1.1053,1.1060
20250826,1.0888,1.0920
20250827,1.0963,1.0980
20250828,1.1193,1.1220
20250829,1.0914,1.1100
20250901,1.0734,1.0800
20250902,1.0899,1.0900
20250903,1.0957,1.0960
20250904,1.0922,1.0900
20250905,1.1136,1.1160
20250908,1.1005,1.1020
20250909,1.1179,1.1160
20250910,1.1082,1.1100
20250911,1.1281,1.1260
20250912,1.1394,1.1380
20250915,1.1471,1.1440
20250916,1.1449,1.1400
20250917,1.1588,1.1540
20250918,1.1580,1.1540
20250919,1.1555,1.1540
20250922,1.1150,1.1120
20250923,1.1172,1.1160
20250924,1.1129,1.1140
20250925,1.1045,1.1040
20250926,1.0803,1.0820
20250929,1.1039,1.1040
20250930,1.1251,1.1220
20251002,1.1718,1.1700
20251003,1.1842,1.1820
20251006,1.2223,1.2220
20251008,1.2010,1.2040
20251009,1.2045,1.2040
20251010,1.1974,1.1980
20251013,1.1398,1.1400
20251014,1.1051,1.1060
20251015,1.1111,1.1120
20251016,1.0963,1.0940
20251017,1.0481,1.0460
20251020,1.0986,1.1000
20251021,1.0662,1.0680
20251022,1.0668,1.0680
