date,nav,market price,shares outstanding
20251222,39.08,39.08,110229963
20251219,38.93,38.97,110229963
20251218,37.47,37.45,110229963
20251217,37.99,37.98,110229963
20251216,38.77,38.77,110419963
20251215,37.97,37.97,110419963
20251212,39.93,39.95,110419963
20251211,40.63,40.65,110689963
20251210,40.93,40.96,110689963
20251209,41.21,41.23,109869963
20251208,40.19,40.2,109869963
20251205,39.54,39.55,109869963
20251204,40.95,40.97,109869963
20251203,41.15,41.15,109879963
20251202,40.32,40.31,109879963
20251201,37.83,37.85,109879963
20251128,40.38,40.17,109659963
20251126,39.78,39.82,109659963
20251125,38.67,38.67,109659963
20251124,39.46,39.46,109659963
20251121,37.42,37.44,107389963
20251120,38.21,38.21,107499963
20251119,39.59,39.57,106139963
20251118,41.07,41.07,102739963
20251117,40.66,40.65,102739963
20251114,41.72,41.72,102639963
20251113,43.41,43.36,109969963
20251112,44.93,44.94,109969963
20251111,45.48,45.5,109439963
20251110,46.92,46.93,109439963
20251107,45.92,45.95,109439963
20251106,44.65,44.66,109439963
20251105,45.98,45.98,108969963
20251104,44.57,44.57,108969963
20251103,47.2,47.2,108969963
20251031,48.59,48.62,108969963
20251030,47.14,47.12,109149963
20251029,48.98,48.97,109219963
20251028,50.33,50.31,109219963
20251027,50.87,50.9,109069963
20251024,48.96,48.99,109069963
20251023,48.81,48.81,108999963
20251022,47.74,47.71,108999963
20251021,49.51,49.5,108719963
20251020,49.07,49.1,108569963
20251017,47.14,47.14,108569963
20251016,47.91,47.94,109039963
20251015,49.28,49.27,109039963
20251014,49.88,49.88,109039963
20251013,51.31,51.32,109039963
20251010,51.64,51.62,109149963
20251009,53.58,53.62,109149963
20251008,54.67,54.67,109129963
20251007,53.86,53.88,109129963
20251006,55.55,55.57,108579963
20251003,54.34,54.43,108209963
20251002,53.54,53.6,108019963
20251001,52.01,52.05,107829963
20250930,50.64,50.63,107829963
20250929,50.63,50.67,106899963
20250926,48.36,48.34,107159963
20250925,48.42,48.42,107479963
20250924,50.23,50.25,107209963
20250923,49.44,49.45,107209963
20250922,49.67,49.68,107209963
20250919,50.98,50.98,107209963
20250918,52.03,52.04,106999963
20250917,51.22,51.22,106559963
20250916,51.72,51.77,106559963
20250915,51.06,51.07,106439963
20250912,51.7,51.78,106329963
20250911,50.68,50.74,106329963
20250910,50.3,50.32,105979963
20250909,49.29,49.32,105979963
20250908,49.62,49.65,105739963
20250905,49.42,49.44,105739963
20250904,48.62,48.62,105839963
20250903,49.71,49.72,105259963
20250902,49.05,49.08,105069963
20250829,47.92,47.93,105069963
20250828,49.56,49.58,104959963
20250827,49.63,49.67,104959963
20250826,49.21,49.22,104729963
20250825,49.01,49.07,104579963
20250822,51.65,51.71,104579963
20250821,49.66,49.66,104479963
20250820,50.6,50.62,104479963
20250819,50.08,50.07,104629963
20250818,51.52,51.51,104629963
20250815,51.8,51.82,104629963
20250814,52.25,52.27,104489963
20250813,54.38,54.44,104279963
20250812,52.99,53.02,104279963
20250811,52.72,52.74,104009963
20250808,51.58,51.56,103749963
20250807,52.04,52.08,103419963
20250806,51.05,51.07,103419963
20250805,50.31,50.32,103419963
20250804,50.81,50.83,103419963
20250801,50.15,50.05,104089963
20250731,51.71,51.7,103979963
20250730,51.78,51.77,103979963
20250729,52.03,52.04,103979963
20250728,52.28,52.33,103769963
20250725,51.7,51.77,103599963
20250724,52.71,52.77,103449963
20250723,52.44,52.49,103249963
20250722,52.85,52.91,103249963
20250721,51.71,51.73,103249963
20250718,51.99,52.0,103249963
20250717,52.7,52.73,103149963
20250716,52.85,52.86,103049963
20250715,51.55,51.61,102689963
20250714,53.11,53.14,102449963
20250711,52.34,52.38,102049963
20250710,50.23,50.27,100419963
20250709,49.48,49.57,100099963
20250708,48.18,48.2,99999963
20250707,47.85,47.89,99869963
20250703,48.64,48.41,99749963
20250702,48.6,48.64,99409963
20250701,46.69,46.66,99409963
20250630,47.74,47.75,99409963
20250627,47.34,47.32,99239963
20250626,47.64,47.69,99239963
20250625,47.75,47.78,99239963
20250624,46.82,46.85,99079963
20250623,45.72,45.74,98859963
20250620,45.78,45.74,98859963
20250618,45.98,46.01,98639963
20250617,46.38,46.41,98639963
20250616,48.13,48.17,98539963
20250613,46.57,46.61,98379963
20250612,47.31,47.3,98379963
20250611,48.18,48.21,98379963
20250610,48.52,48.55,98379963
20250609,48.13,48.13,98269963
20250606,46.2,46.19,98069963
20250605,45.13,45.14,98439963
20250604,46.5,46.51,98439963
20250603,47.08,47.09,98289963
20250602,46.28,46.27,98289963
20250530,46.34,46.29,98639963
20250529,46.83,46.77,98639963
20250528,47.38,47.41,98639963
20250527,48.69,48.73,97899963
20250523,48.16,48.18,97899963
20250522,49.27,49.3,97899963
20250521,48.13,48.16,97439963
20250520,47.42,47.47,97309963
20250519,46.76,46.76,97309963
20250516,46.1,46.15,97209963
20250515,45.7,45.7,97209963
20250514,45.76,45.77,96439963
20250513,46.44,46.45,96439963
20250512,45.1,45.11,96439963
20250509,45.73,45.75,96439963
20250508,44.88,44.89,96439963
20250507,42.62,42.61,96439963
20250506,42.06,42.05,96439963
20250505,41.78,41.77,96439963
20250502,42.97,42.96,96439963
20250501,42.78,42.79,95459963
20250430,41.71,41.71,95459963
20250429,42.23,42.24,95459963
20250428,42.0,41.99,95459963
20250425,42.27,42.3,94989963
20250424,41.47,41.49,94989963
20250423,41.45,41.44,94269963
20250422,40.56,40.56,93749963
20250421,38.75,38.72,92909963
20250417,37.6,37.65,92909963
20250416,37.36,37.38,92819963
20250415,37.22,37.24,92579963
20250414,37.61,37.7,92579963
20250411,37.13,37.16,92579963
20250410,35.26,35.23,92299963
20250409,36.46,36.5,92299963
20250408,34.0,33.99,92519963
20250407,34.58,34.53,92519963
20250404,37.2,37.21,92519963
20250403,36.29,36.31,92519963
20250402,38.52,38.53,91629963
20250401,37.64,37.65,91629963
20250331,36.51,36.49,91629963
20250328,37.09,37.07,91629963
20250327,38.56,38.56,91629963
20250326,38.35,38.35,91629963
20250325,39.06,39.08,91629963
20250324,39.13,39.13,91629963
20250321,37.19,37.19,91629963
20250320,37.27,37.31,91489963
20250319,37.87,37.89,91369963
20250318,36.45,36.43,91369963
20250317,37.43,37.45,90989963
