date,nav,market price
20251222,40.0109,40.01
20251219,39.975,39.99
20251218,38.4689,38.48
20251217,38.9772,39.05
20251216,39.7189,39.7
20251215,38.9484,38.98
20251212,40.9238,40.93
20251211,41.6393,41.67
20251210,42.0365,42.1
20251209,42.4698,42.51
20251208,41.4407,41.47
20251205,40.6864,40.71
20251204,42.5453,42.84
20251203,42.7292,42.79
20251202,41.9348,41.94
20251201,39.4098,39.46
20251128,41.9598,42.11
20251127,42.2727,42.62
20251126,41.5811,41.8
20251125,40.5911,40.58
20251124,41.4364,41.6
20251121,39.2244,39.26
20251120,40.1106,40.1
20251119,41.4409,41.48
20251118,42.7312,42.8
20251117,42.5137,42.58
20251114,43.5291,43.6
20251113,45.3318,45.33
20251112,46.8438,46.94
20251111,47.4075,47.38
20251110,48.8825,48.89
20251107,47.9337,47.88
20251106,46.93,47.08
20251105,48.2639,48.3
20251104,46.7242,46.81
20251103,49.2535,50.76
20251031,50.7464,50.76
20251030,49.0803,49.13
20251029,50.8317,50.87
20251028,52.1729,52.22
20251027,52.941,52.99
20251024,50.9995,51.03
20251023,50.7993,50.83
20251022,49.6709,49.73
20251021,51.659,51.66
20251020,51.2321,51.3
20251017,49.1555,49.24
20251016,50.1226,50.15
20251015,51.4891,51.53
20251014,52.1103,52.17
20251010,53.8583,53.78
20251009,55.8858,55.95
20251008,56.7515,56.96
20251007,55.9465,55.95
20251006,57.6131,58
20251003,56.4109,56.46
20251002,55.595,55.7
20251001,53.9351,54.19
20250930,52.4539,52.46
20250929,52.4398,52.71
20250926,50.1413,50.12
20250925,50.2608,50.26
20250924,51.956,51.99
20250923,50.8927,50.9
20250922,51.1111,51.12
20250919,52.3051,52.33
20250918,53.3745,53.46
20250917,52.489,52.52
20250916,52.9162,52.93
20250915,52.299,52.31
20250912,53.252,53.31
20250911,52.1853,52.18
20250910,51.8638,51.94
20250909,50.847,51.1
20250908,50.9658,51.01
20250905,50.8939,50.93
20250904,50.0542,50.06
20250903,51.0169,51.05
20250902,50.2741,50.36
20250829,49.0116,49.03
20250828,50.7324,50.77
20250827,50.9013,50.89
20250826,50.6681,50.7
20250825,50.6055,50.6
20250822,53.1166,53.38
20250821,51.3591,51.38
20250820,52.2613,52.28
20250819,51.6885,51.76
20250818,52.9428,53.01
20250815,53.2456,53.29
20250814,53.7635,53.75
20250813,55.691,55.72
20250812,54.335,54.36
20250811,53.9851,53.98
20250808,52.8069,52.84
20250807,53.1945,53.22
20250806,52.1764,52.23
20250805,51.5675,51.7
20250801,51.5263,51.49
20250731,53.3238,53.36
20250730,53.3416,53.38
20250729,53.3664,53.38
20250728,53.4103,53.4
20250725,52.7425,52.77
20250724,53.5354,53.59
20250723,53.0797,53.12
20250722,53.4741,53.54
20250721,52.6794,52.72
20250718,53.1462,53.15
20250717,53.9119,54.05
20250716,53.789,53.9
20250715,52.6773,52.73
20250714,54.1231,54.21
20250711,53.2723,53.33
20250710,51.1073,51.11
20250709,50.4496,50.45
20250708,49.0754,49.07
20250707,48.7088,48.99
20250704,48.2343,48.47
20250703,49.1799,49.22
20250702,49.1473,49.22
20250630,48.3631,48.45
20250627,48.3368,48.31
20250626,48.4005,48.42
20250625,48.7585,48.81
20250624,47.7993,47.89
20250623,46.7664,46.8
20250620,46.8929,46.87
