date,nav,market price,shares outstanding
20251222,69.03,69.03,212980100
20251219,68.77,68.84,212980100
20251218,66.19,66.11,212980100
20251217,67.11,67.1,212980100
20251216,68.49,68.49,212980100
20251215,67.09,67.05,213390100
20251212,70.55,70.58,213390100
20251211,71.8,71.79,213560100
20251210,72.32,72.35,213560100
20251209,72.82,72.82,213320100
20251208,71.02,70.99,213940100
20251205,69.88,69.9,213940100
20251204,72.38,72.38,214080100
20251203,72.74,72.73,214350100
20251202,71.28,71.25,214350100
20251201,66.87,66.92,214350100
20251128,71.38,71.01,214200100
20251126,70.33,70.38,214120100
20251125,68.37,68.36,214120100
20251124,69.76,69.73,214120100
20251121,66.16,66.16,213190100
20251120,67.58,67.56,216140100
20251119,70.01,69.99,216140100
20251118,72.63,72.64,216140100
20251117,71.91,71.84,216620100
20251114,73.8,73.78,216960100
20251113,76.79,76.68,217800100
20251112,79.48,79.49,218090100
20251111,80.45,80.47,218090100
20251110,83.0,83.05,218090100
20251107,81.25,81.3,218280100
20251106,78.99,78.98,218280100
20251105,81.35,81.35,218280100
20251104,78.86,78.87,218900100
20251103,83.52,83.5,218900100
20251031,85.99,86.02,218820100
20251030,83.43,83.34,218940100
20251029,86.68,86.66,219690100
20251028,89.08,89.02,219690100
20251027,90.03,90.09,219690100
20251024,86.67,86.69,219690100
20251023,86.41,86.42,220390100
20251022,84.52,84.5,221060100
20251021,87.65,87.64,221060100
20251020,86.88,86.89,221060100
20251017,83.46,83.46,221360100
20251016,84.84,84.8,221890100
20251015,87.27,87.23,222840100
20251014,88.33,88.29,222840100
20251013,90.87,90.86,224440100
20251010,91.46,91.42,224650100
20251009,94.89,94.9,225130100
20251008,96.83,96.78,225130100
20251007,95.4,95.37,225430100
20251006,98.4,98.43,225430100
20251003,96.27,96.36,225240100
20251002,94.85,94.93,225210100
20251001,92.15,92.2,225110100
20250930,89.73,89.77,225110100
20250929,89.71,89.73,224810100
20250926,85.7,85.65,225010100
20250925,85.8,85.76,225510100
20250924,89.02,89.01,225510100
