date,nav,market price
20240430,1.0177,1.02
20240502,0.9275,0.93
20240503,0.9531,0.95
20240506,1.0342,1.04
20240507,1.0241,1.02
20240508,1.0009,1
20240509,0.987,0.98
20240510,1.0155,1.01
20240513,0.992,1
20240514,0.9949,0.99
20240516,1.0628,1.06
20240517,1.0645,1.06
20240520,1.0721,1.08
20240521,1.1413,1.14
20240522,1.1206,1.12
20240523,1.1182,1.12
20240524,1.0776,1.08
20240527,1.1005,1.1
20240528,1.0886,1.09
20240529,1.0952,1.09
20240530,1.089,1.09
20240531,1.0965,1.09
20240603,1.1074,1.11
20240604,1.108,1.11
20240605,1.1433,1.14
20240606,1.1396,1.14
20240607,1.1428,1.14
20240611,1.0871,1.08
20240612,1.0818,1.08
20240613,1.0858,1.08
20240614,1.0752,1.07
20240617,1.0622,1.06
20240618,1.054,1.05
20240619,1.0503,1.05
20240620,1.0558,1.06
20240621,1.0366,1.03
20240624,1.0009,1
20240625,0.9774,0.97
20240626,0.9899,0.99
20240627,0.9751,0.98
20240628,0.986,0.98
20240702,1.0048,1.01
20240703,0.9773,0.98
20240704,0.9394,0.93
20240705,0.8707,0.87
20240708,0.8941,0.9
20240709,0.9195,0.92
20240710,0.9481,0.95
20240711,0.9327,0.93
20240712,0.9167,0.92
20240715,1.0098,1.01
20240716,1.0121,1.01
20240717,1.0499,1.05
20240718,1.0404,1.04
20240719,1.0256,1.02
20240722,1.08,1.08
20240723,1.0672,1.07
20240724,1.0589,1.06
20240725,1.0309,1.03
20240726,1.0756,1.07
20240729,1.1156,1.12
20240730,1.0735,1.07
20240731,1.0646,1.07
20240801,1.0324,1.03
20240802,1.0313,1.03
20240805,0.8407,0.84
20240806,0.8959,0.9
20240807,0.9118,0.91
20240808,0.9195,0.92
20240809,0.9787,0.98
20240812,0.9372,0.94
20240813,0.9511,0.95
20240814,0.976,0.98
20240815,0.9306,0.94
20240816,0.9377,0.94
20240819,0.9404,0.94
20240820,0.977,0.98
20240821,0.9573,0.96
20240822,0.9757,0.98
20240823,0.9802,0.98
20240826,1.0223,1.02
20240827,1.0083,1.01
20240828,0.9458,0.94
20240829,0.9563,0.95
20240830,0.9525,0.95
20240902,0.9233,0.92
20240903,0.9463,0.95
20240904,0.9072,0.91
20240905,0.9161,0.92
20240909,0.8797,0.88
20240910,0.9151,0.92
20240911,0.9076,0.91
20240912,0.9303,0.93
20240913,0.929,0.93
20240916,0.9431,0.94
20240917,0.9395,0.94
20240919,0.9953,0.99
20240920,1.0192,1.02
20240923,1.018,1.02
20240924,1.017,1.02
20240925,1.0226,1.03
20240926,1.0222,1.02
20240927,1.049,1.05
20240930,1.0343,1.03
20241002,0.9894,0.99
20241003,0.9804,0.98
20241004,0.9823,0.98
20241007,1.0184,1.02
20241008,0.9973,1
20241009,0.9974,1
20241010,0.9768,0.97
20241014,1.0286,1.03
20241015,1.0526,1.05
20241016,1.0719,1.07
20241017,1.0761,1.07
20241018,1.0895,1.09
20241021,1.0992,1.1
20241022,1.0818,1.08
20241023,1.0708,1.07
20241024,1.0753,1.08
20241025,1.0804,1.08
20241028,1.0945,1.09
20241029,1.1367,1.14
20241030,1.1576,1.16
20241031,1.1583,1.16
20241101,1.1082,1.11
20241104,1.102,1.1
20241105,1.1006,1.1
20241106,1.1868,1.18
20241107,1.199,1.2
20241108,1.2176,1.22
20241111,1.2971,1.3
20241112,1.4331,1.43
20241113,1.3966,1.4
20241114,1.4395,1.45
20241115,1.4098,1.41
20241118,1.4689,1.47
20241119,1.4704,1.47
20241120,1.4846,1.49
20241121,1.5552,1.55
20241122,1.5894,1.59
20241125,1.5706,1.57
20241126,1.5038,1.51
20241127,1.4944,1.5
20241128,1.5298,1.52
20241129,1.5365,1.53
20241202,1.5381,1.54
20241203,1.5283,1.53
20241204,1.5454,1.54
20241205,1.6343,1.63
20241206,1.5687,1.57
20241209,1.5846,1.59
20241210,1.5542,1.55
20241211,1.5606,1.55
20241212,1.6098,1.61
20241213,1.5982,1.6
20241216,1.6819,1.68
20241217,1.7094,1.7
20241218,1.665,1.66
20241219,1.6218,1.62
20241220,1.5647,1.56
20241223,1.5215,1.52
20241224,1.5026,1.51
20241227,1.5265,1.52
20241230,1.4947,1.5
20241231,1.4825,1.48
20250102,1.5287,1.53
20250103,1.5408,1.54
20250106,1.5877,1.59
20250107,1.6275,1.63
20250108,1.527,1.53
20250109,1.4984,1.49
20250110,1.509,1.51
20250113,1.4966,1.5
20250114,1.5176,1.51
20250115,1.5546,1.55
20250116,1.5937,1.59
20250117,1.6232,1.62
20250120,1.7277,1.72
20250121,1.6317,1.63
20250122,1.683,1.69
20250123,1.636,1.64
