date,nav,market price
20251222,24.9179,24.98
20251221,24.8683,24.88
20251220,24.8683,24.88
20251219,24.8683,24.88
20251218,24.0207,23.94
20251217,24.3076,24.28
20251216,24.7737,24.78
20251215,24.2817,24.26
20251214,25.4913,25.53
20251213,25.4913,25.53
20251212,25.4913,25.53
20251211,25.8354,25.95
20251210,26.4263,26.16
20251209,26.3760,26.33
20251208,25.6040,25.68
20251207,25.3094,25.26
20251206,25.3094,25.26
20251205,25.3094,25.26
20251204,26.0641,26.16
20251203,26.3271,26.30
20251202,25.8162,25.75
20251201,24.1635,24.20
20251130,25.7668,25.65
20251129,25.7668,25.65
20251128,25.7668,25.65
20251127,25.4146,25.42
20251126,25.4146,25.42
20251125,24.6310,24.68
20251124,25.1144,25.21
20251123,23.7559,23.90
20251122,23.7559,23.90
20251121,23.7559,23.90
20251120,24.4721,24.40
20251119,25.1793,25.26
20251118,26.2888,26.23
20251117,25.9116,25.97
20251116,26.8420,26.66
20251115,26.8420,26.66
20251114,26.8420,26.66
20251113,27.8064,27.73
20251112,28.7279,28.72
20251111,29.1042,29.06
20251110,29.9941,29.98
20251109,29.2469,29.34
20251108,29.2469,29.34
20251107,29.2469,29.34
20251106,28.5922,28.52
20251105,29.4271,29.35
20251104,28.3979,28.49
20251103,30.1774,30.14
20251102,31.0075,31.03
20251101,31.0075,31.03
20251031,31.0075,31.03
20251030,30.2006,30.08
20251029,31.3516,31.28
20251028,32.2917,32.14
20251027,32.5293,32.51
20251026,31.3208,31.27
20251025,31.3208,31.27
20251024,31.3208,31.27
20251023,31.2295,31.19
20251022,30.5810,30.48
20251021,31.6593,31.64
20251020,31.3478,31.35
20251019,30.1517,30.12
20251018,30.1517,30.12
20251017,30.1517,30.12
20251016,30.5859,30.62
20251015,31.4965,31.47
20251014,31.9649,31.86
20251013,32.6941,32.77
20251012,33.0151,32.99
20251011,33.0151,32.99
20251010,33.0151,32.99
20251009,34.2229,34.24
20251008,34.9304,34.92
20251007,34.3697,34.41
20251006,35.5381,35.49
20251005,34.7191,34.76
20251004,34.7191,34.76
20251003,34.7191,34.76
20251002,34.1884,34.23
20251001,33.2323,33.24
20250930,32.2613,32.37
20250929,32.2764,32.36
20250928,30.9392,30.88
20250927,30.9392,30.88
20250926,30.9392,30.88
20250925,31.0228,30.93
20250924,32.1141,32.11
20250923,31.6108,31.58
20250922,31.8000,31.72
20250921,32.6139,32.56
20250920,32.6139,32.56
20250919,32.6139,32.56
20250918,33.2465,33.22
20250917,32.7215,32.73
20250916,32.9826,33.07
20250915,32.6120,32.63
20250914,32.9718,33.08
20250913,32.9718,33.08
20250912,32.9718,33.08
20250911,32.3515,32.41
20250910,32.0773,32.15
20250909,31.4743,31.49
20250908,31.7310,31.71
20250907,31.4889,31.58
20250906,31.4889,31.58
20250905,31.4889,31.58
20250904,31.0983,31.06
20250903,31.6693,31.74
20250902,31.2944,31.33
20250901,30.6727,30.61
20250831,30.6727,30.61
20250830,30.6727,30.61
20250829,30.6727,30.61
20250828,31.7455,31.67
20250827,31.6787,31.71
20250826,31.3707,31.44
20250825,31.5751,31.35
20250824,33.0144,33.01
20250823,33.0144,33.01
20250822,33.0144,33.01
20250821,31.7561,31.73
20250820,32.2342,32.35
20250819,32.0027,31.99
20250818,32.9177,32.91
20250817,33.1334,33.10
20250816,33.1334,33.10
20250815,33.1334,33.10
20250814,33.4456,33.40
20250813,34.5928,34.77
20250812,33.8486,33.86
20250811,33.7592,33.67
20250810,32.9612,32.95
20250809,32.9612,32.95
20250808,32.9612,32.95
20250807,33.0625,33.27
20250806,32.6313,32.63
20250805,32.1343,32.16
